CHR,Overlap_Start,Overlap_End,Invasive_Value,Non_Invasive_Value,Region_Type
4,69180001,69840000,-2,-2,Loss
6,210001,1650001,-2,-2,Loss
6,1650001,1800000,-2,-2,Loss
6,1800000,5670000,-2,-2,Loss
6,5670000,5700001,-2,-2,Loss
6,5700001,6480000,-2,-2,Loss
6,6480000,17670001,-2,-2,Loss
6,17670001,18180000,-2,-2,Loss
6,18180000,18540001,-2,-2,Loss
6,18540001,20130000,-2,-2,Loss
6,20130000,20130001,-2,-2,Loss
6,20130001,23760000,-2,-2,Loss
6,23760000,23760001,-2,-2,Loss
6,23760001,24600000,-2,-2,Loss
6,24600000,26010001,-2,-2,Loss
6,26010001,26340000,-2,-2,Loss
6,26340000,27900001,-2,-2,Loss
6,27900001,28500000,-2,-2,Loss
6,28500000,28500000,-2,-2,Loss
6,28500000,28500000,-2,-2,Loss
6,28500000,28500001,-2,-2,Loss
6,28500001,28500001,-2,-2,Loss
6,28500001,28500001,-2,-2,Loss
6,28500001,28680000,-2,-2,Loss
6,28680000,28680001,-2,-2,Loss
6,28680001,31080000,-2,-2,Loss
6,31080000,31080001,-2,-2,Loss
6,31080001,31440000,-2,-2,Loss
6,31440000,31470001,-2,-2,Loss
6,31470001,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
6,33270000,33270001,-2,-2,Loss
6,33270001,33270001,-2,-2,Loss
6,33270001,33270001,-2,-2,Loss
6,33270001,33300000,-2,-2,Loss
6,33300000,33300000,-2,-2,Loss
6,33300000,33300000,-2,-2,Loss
6,33300000,33330001,-2,-2,Loss
6,33330001,33330001,-2,-2,Loss
6,33330001,33330001,-2,-2,Loss
6,33330001,33360000,-2,-2,Loss
6,33360000,33360000,-2,-2,Loss
6,33360000,33360000,-2,-2,Loss
6,33360000,33360001,-2,-2,Loss
6,33360001,33360001,-2,-2,Loss
6,33360001,33360001,-2,-2,Loss
6,33360001,33390000,-2,-2,Loss
6,33390000,33390000,-2,-2,Loss
6,33390000,33390000,-2,-2,Loss
6,33390000,33390001,-2,-2,Loss
6,33390001,33420000,-2,-2,Loss
6,33420000,33420000,-2,-2,Loss
17,1,32640001,-2,-2,Loss
17,32640001,43410000,-2,-2,Loss
17,43410000,43410001,-2,-2,Loss
17,43410001,43500000,-2,-2,Loss
17,43500000,43710001,-2,-2,Loss
17,43710001,81090000,-2,-2,Loss
