CHR,Overlap_Start,Overlap_End,Invasive_Value,Non_Invasive_Value,Region_Type
1,2520001,2520001,-1,-1,Loss
1,2520001,2550001,-1,-1,Loss
1,2550001,2700001,-1,-1,Loss
1,2700001,3210000,-1,-1,Loss
1,3210000,3990001,-1,-1,Loss
1,3990001,5970000,-1,-1,Loss
1,5970000,6000000,-1,-1,Loss
1,6000000,6210000,-1,-1,Loss
1,6210000,6210001,-1,-1,Loss
1,6210001,6240000,-1,-1,Loss
1,6240000,6240000,-1,-1,Loss
1,17940001,17970001,-1,-1,Loss
1,17970001,19200000,-1,-1,Loss
1,29610001,29610001,-1,-1,Loss
1,29610001,29640001,-1,-1,Loss
1,29640001,30360000,-1,-1,Loss
1,30360000,31020000,-1,-1,Loss
1,31020000,31020001,-1,-1,Loss
1,31020001,31080000,-1,-1,Loss
1,31080000,31080000,-1,-1,Loss
1,31080000,31080000,-1,-1,Loss
1,31080000,31080001,-1,-1,Loss
1,31080001,31080001,-1,-1,Loss
1,31080001,31080001,-1,-1,Loss
1,31080001,31110000,-1,-1,Loss
1,31110000,31110001,-1,-1,Loss
1,31110001,31140000,-1,-1,Loss
1,33990001,33990001,-1,-1,Loss
1,33990001,34110000,-1,-1,Loss
1,34110000,34110001,-1,-1,Loss
1,34110001,34140000,-1,-1,Loss
1,34140000,35160000,-1,-1,Loss
1,35160000,35160001,-1,-1,Loss
1,35160001,35160001,-1,-1,Loss
1,35160001,35160001,-1,-1,Loss
1,35160001,35220001,-1,-1,Loss
1,35220001,35250000,-1,-1,Loss
1,35250000,35250001,-1,-1,Loss
1,35250001,35400000,-1,-1,Loss
1,36960001,36990000,-1,-1,Loss
1,36990000,36990001,-1,-1,Loss
1,36990001,37020000,-1,-1,Loss
1,37020000,37500001,-1,-1,Loss
1,37500001,37890000,-1,-1,Loss
1,38520001,38520001,-1,-1,Loss
1,38520001,38550000,-1,-1,Loss
1,38550000,39270000,-1,-1,Loss
1,49260001,50940000,-1,-1,Loss
1,57300001,58950000,-1,-1,Loss
1,101730001,101820000,-1,-1,Loss
1,101820000,105510001,-1,-1,Loss
1,105510001,105870000,-1,-1,Loss
1,105870000,105870001,-1,-1,Loss
1,105870001,107940000,-1,-1,Loss
1,107940000,107940001,-1,-1,Loss
1,107940001,108090000,-1,-1,Loss
1,152160001,153420001,-1,-1,Loss
