CHR,Overlap_Start,Overlap_End,Invasive_Value,Non_Invasive_Value,Region_Type
1,2520001,2550001,-1,-1,Loss
1,2550001,2700001,-1,-1,Loss
1,2700001,3210000,-1,-1,Loss
1,3210000,3990001,-1,-1,Loss
1,3990001,5970000,-1,-1,Loss
1,5970000,6000000,-1,-1,Loss
1,6000000,6210000,-1,-1,Loss
1,29610001,29640001,-1,-1,Loss
1,29640001,30360000,-1,-1,Loss
1,30360000,31020000,-1,-1,Loss
1,31140001,31140001,1,1,Gain
1,31140001,33960000,1,1,Gain
1,33960000,33960000,1,1,Gain
1,33960000,33960000,1,1,Gain
1,33960000,33960001,1,1,Gain
1,33960001,33990000,1,1,Gain
1,33990000,33990000,1,1,Gain
1,34110001,34140000,-1,-1,Loss
1,34140000,35160000,-1,-1,Loss
1,35640001,36930000,1,1,Gain
1,36990001,37020000,-1,-1,Loss
1,37020000,37500001,-1,-1,Loss
1,37500001,37890000,-1,-1,Loss
1,37890000,37920000,-1,-1,Loss
1,38520001,38520001,-1,-1,Loss
1,38520001,38550000,-1,-1,Loss
1,38550000,39270000,-1,-1,Loss
1,39270000,39270001,-1,-1,Loss
1,39270001,39300000,-1,-1,Loss
1,149850001,149850001,1,1,Gain
1,149850001,151440000,1,1,Gain
1,151440000,151980000,1,1,Gain
1,151980000,152040000,1,1,Gain
1,152040000,152040000,1,1,Gain
1,153480001,153480001,1,1,Gain
1,153480001,153540000,1,1,Gain
1,153540000,153540001,1,1,Gain
1,153540001,154410000,1,1,Gain
1,154410000,154920001,1,1,Gain
1,154920001,156750000,1,1,Gain
1,156750000,156780000,1,1,Gain
1,156780000,157110000,1,1,Gain
1,159750001,159780000,1,1,Gain
1,159780000,159780001,1,1,Gain
1,159780001,160950001,1,1,Gain
1,160950001,162690000,1,1,Gain
1,162690000,163380000,1,1,Gain
1,163380000,163380001,1,1,Gain
1,163380001,163590000,1,1,Gain
1,163590000,164490000,1,1,Gain
1,164490000,164490001,1,1,Gain
1,164490001,164760000,1,1,Gain
1,164760000,165930001,1,1,Gain
1,165930001,166530000,1,1,Gain
1,166530000,167640000,1,1,Gain
1,167640000,170460001,1,1,Gain
1,170460001,172320001,1,1,Gain
1,172320001,172650000,1,1,Gain
1,172650000,174090000,1,1,Gain
1,174090000,178260001,1,1,Gain
1,178260001,179640000,1,1,Gain
1,179640000,181140000,1,1,Gain
1,181950001,182040000,1,1,Gain
1,182040000,184260001,1,1,Gain
1,184260001,184290001,1,1,Gain
1,184290001,184320001,1,1,Gain
1,184320001,184920000,1,1,Gain
1,184920000,184950000,1,1,Gain
1,184950000,185550000,1,1,Gain
1,185550000,199080001,1,1,Gain
1,199080001,212430000,1,1,Gain
1,212430000,216210000,1,1,Gain
1,216870001,219840001,1,1,Gain
1,219840001,220380000,1,1,Gain
1,220380000,223440000,1,1,Gain
1,223890001,224580001,1,1,Gain
1,224580001,224760000,1,1,Gain
1,234630001,235140000,1,1,Gain
2,30001,1530000,-1,-1,Loss
2,1530000,4260000,-1,-1,Loss
2,4260000,4380000,-1,-1,Loss
2,4380000,4620000,-1,-1,Loss
2,4620000,5130000,-1,-1,Loss
2,242850001,243000000,-1,-1,Loss
3,134460001,134580001,-1,-1,Loss
3,134580001,135390000,-1,-1,Loss
3,135390000,135570000,-1,-1,Loss
4,69180001,69840000,-2,-2,Loss
6,28500001,28500001,-2,-2,Loss
6,28500001,28680000,-2,-2,Loss
6,28680000,28680001,-2,-2,Loss
6,28680001,31080000,-2,-2,Loss
6,31080000,31080001,-2,-2,Loss
6,31080001,31440000,-2,-2,Loss
6,31440000,31470001,-2,-2,Loss
6,31470001,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
